id gender age friends
SUB98853 F 71 9
SUB86623 F 75 6
SUB37264 F 73 8
SUB23928 F 65 2
SUB40204 M 67 7
SUB18005 F 70 2
SUB48552 M 69 4
SUB79002 F 66 8
SUB16396 M 65 2
SUB55974 M 72 9
SUB60852 F 73 4
SUB52872 M 66 4
SUB89977 M 73 2
SUB77408 F 66 1
SUB59917 M 69 5
SUB88992 F 67 1
SUB95500 M 66 11
SUB92122 F 68 2
SUB31495 F 74 2
SUB33022 M 75 10
SUB10118 F 69 2
SUB46465 F 71 7
SUB98799 M 65 1
SUB88151 F 73 5
SUB84447 F 73 2
SUB77682 M 75 3
SUB67676 M 70 2
SUB85732 M 74 2
SUB27757 M 67 4
SUB18657 F 73 5
SUB16142 M 65 2
SUB62114 F 69 3
SUB61489 F 73 2
SUB61607 F 65 1
SUB14228 M 68 1
SUB43373 M 72 2
SUB96426 M 70 6
SUB70493 M 73 4
SUB74338 F 72 2
SUB84826 F 73 1
SUB24825 F 70 10
SUB73920 F 74 6
SUB96197 M 67 1
SUB38611 F 73 1
SUB70467 M 69 2
SUB99487 M 73 0
SUB89754 M 73 1
SUB84971 M 75 1
SUB16298 M 69 2
SUB80003 F 70 5
SUB99428 M 74 0
SUB61467 F 65 4
SUB76278 F 75 4
SUB31294 M 75 1
SUB28029 F 66 3
SUB26663 F 68 1
SUB42129 F 71 3
SUB63320 F 74 8
SUB33736 F 73 3
SUB33772 M 66 4
SUB15663 F 70 1
SUB48443 F 69 1
SUB22119 M 75 1
SUB46871 M 75 1
SUB90999 F 70 1
SUB23548 M 67 4
SUB39095 F 70 2
SUB50764 M 66 3
SUB21448 M 72 2
SUB13437 M 68 6
SUB62362 F 67 0
SUB84356 F 73 2
SUB88813 F 69 3
SUB86451 F 67 2
SUB73761 F 67 2
SUB28530 M 69 3
SUB96095 M 69 0
SUB85719 M 66 4
SUB40102 M 67 1
SUB60476 F 72 4
SUB75498 M 67 1
SUB72278 F 66 3
SUB18065 F 73 1
SUB60240 M 73 1
SUB80424 F 66 4
SUB66885 F 72 1
SUB18993 M 73 3
SUB77941 F 74 5
SUB91867 F 65 8
SUB36486 M 68 2
SUB32917 F 73 1
SUB27471 M 75 0
SUB78948 F 67 3
SUB27712 F 72 6
SUB27777 F 72 2
SUB27937 M 66 2
SUB94702 F 73 2
SUB21196 F 69 6
SUB25372 M 70 2
SUB79867 M 71 4
SUB94835 M 66 1
SUB46071 F 66 11
SUB77619 F 74 4
SUB52725 M 65 6
SUB53320 F 75 3
SUB76035 M 70 1
SUB98716 M 74 5
SUB51375 M 66 1
SUB75224 M 65 3
SUB25566 F 66 3
SUB64512 M 67 2
SUB59084 F 75 3
SUB64201 F 75 2
SUB53894 F 69 2
SUB54208 F 70 3
SUB99034 M 68 3
SUB82232 F 68 2
SUB29772 F 75 3
SUB81082 M 75 1
SUB20792 F 72 3
SUB62571 M 67 1
SUB33368 M 65 6
SUB28009 F 65 5
SUB81763 F 72 2
SUB52787 M 75 1
SUB49305 F 69 3
SUB27316 F 74 1
SUB15037 M 65 1
SUB81694 F 73 2
SUB61133 M 65 3
SUB76322 M 74 4
SUB90959 F 75 8
SUB65116 F 74 2
SUB33145 F 69 2
SUB31715 F 68 5
SUB49614 F 75 6
SUB53274 M 66 4
SUB35646 F 67 12
SUB74401 F 65 1
SUB24558 F 73 3
SUB83331 M 69 0
SUB67737 M 72 2
SUB84508 M 66 4
SUB99124 M 70 2
SUB24379 F 75 8
SUB81616 F 66 6
SUB65905 F 68 6
SUB33767 F 65 3
SUB92862 F 71 2
SUB29048 F 75 1
SUB37178 F 73 3
SUB71364 M 75 0
SUB68261 M 65 2
SUB77060 M 67 2
SUB47115 F 67 8
SUB33495 M 74 0
SUB55238 M 66 2
SUB12861 F 65 4
SUB26852 F 69 4
SUB76550 F 68 3
SUB25800 M 67 7
SUB64884 M 67 3
SUB74342 M 65 6
SUB54862 M 66 3
SUB16385 F 65 2
SUB93464 M 66 1
SUB97511 M 75 1
SUB35122 F 75 4
SUB92140 M 65 2
SUB67155 M 67 3
SUB20296 F 73 1
SUB63937 M 72 0
SUB91942 F 65 5
SUB46355 M 72 10
SUB69617 F 72 10
SUB10802 F 71 4
SUB33989 F 69 6
SUB98202 F 66 2
SUB20033 M 71 0
SUB46845 M 68 1
SUB58772 F 75 2
SUB56058 M 71 5
SUB13922 F 73 4
SUB59948 M 73 4
SUB12965 F 69 4
SUB41944 M 74 3
SUB54875 M 71 3
SUB93605 M 74 1
SUB37929 M 72 5
SUB84145 F 71 2
SUB16104 F 69 0
SUB53015 F 72 8
SUB48114 M 70 0
SUB25718 F 68 1
SUB29557 F 68 1
SUB85162 M 73 1
