id gender age friends
SUB84912 F 71 2
SUB87363 F 73 4
SUB46401 M 72 0
SUB70198 M 68 1
SUB97757 F 73 4
SUB64850 M 72 1
SUB81741 M 70 4
SUB21045 M 75 2
SUB26685 F 75 0
SUB70861 M 69 2
SUB36883 F 74 3
SUB40134 F 71 3
SUB45579 F 71 4
SUB26033 F 69 2
SUB13126 M 66 1
SUB55590 F 69 2
SUB80944 F 67 4
SUB67531 M 66 1
SUB66487 M 65 2
SUB70639 F 73 3
SUB95655 F 65 4
SUB41389 M 69 1
SUB86974 M 73 1
SUB33980 M 68 6
SUB75132 F 71 2
SUB30250 F 73 7
SUB69505 M 72 3
SUB76323 M 71 5
SUB86712 M 69 0
SUB64104 M 65 0
SUB16580 F 75 2
SUB42802 M 65 8
SUB72973 F 65 2
SUB21792 M 74 4
SUB57219 M 67 6
SUB43494 F 69 5
SUB10334 F 73 3
SUB36208 M 72 2
SUB34946 M 75 0
SUB43047 M 66 3
SUB55607 F 70 3
SUB90581 M 70 3
SUB49350 M 73 3
SUB59098 M 68 1
SUB55561 M 75 6
SUB27639 F 73 1
SUB42746 M 72 3
SUB35141 M 67 2
SUB36524 M 66 1
SUB53166 F 72 4
SUB28216 F 71 1
SUB60209 M 73 1
SUB11844 F 75 10
SUB68957 F 65 6
SUB66188 M 69 0
SUB18947 F 65 5
SUB34272 F 67 9
SUB71680 M 73 3
SUB20780 M 67 6
SUB23335 M 73 0
SUB92821 M 69 5
SUB16667 F 71 3
SUB30227 M 66 0
SUB74353 M 68 1
SUB13649 M 66 1
SUB51697 M 70 2
SUB85072 F 66 3
SUB41029 F 69 2
SUB69904 M 68 4
SUB59106 F 66 5
SUB62277 F 73 0
SUB81713 M 65 0
SUB85269 M 65 1
SUB46337 M 72 1
SUB83544 M 65 1
SUB87006 F 65 1
SUB55170 F 69 1
SUB81143 F 72 2
SUB94496 M 67 0
SUB43530 F 69 2
SUB86147 M 74 6
SUB45351 M 66 3
SUB25167 F 70 1
SUB51227 F 71 0
SUB10585 F 73 1
SUB46445 M 69 3
SUB23536 F 74 3
SUB89232 M 68 0
SUB39362 F 74 4
SUB43606 M 73 6
SUB56150 M 66 1
SUB92168 M 73 2
SUB50751 M 73 2
SUB98844 F 72 6
SUB68384 M 65 4
SUB16253 M 71 1
SUB65297 M 65 1
SUB15663 M 65 1
SUB89686 M 73 4
SUB57671 M 73 2
SUB77278 M 70 2
SUB77326 M 67 6
SUB24566 M 69 3
SUB68524 F 65 4
SUB85747 M 67 1
SUB88327 F 67 2
SUB24795 F 66 1
SUB79338 F 68 5
SUB19881 F 69 1
SUB98209 F 70 4
SUB17669 F 70 1
SUB12754 F 70 1
SUB42370 F 73 3
SUB95382 M 72 5
SUB12368 F 72 3
SUB52643 M 75 3
SUB98823 F 73 3
SUB15662 F 73 7
SUB37698 M 73 1
SUB51033 M 71 1
SUB21074 F 71 7
SUB30422 F 74 2
SUB92459 F 74 7
SUB79105 M 65 2
SUB49321 F 75 2
SUB24307 F 69 3
SUB65710 F 74 0
SUB17688 F 66 1
SUB19161 M 68 1
SUB40475 F 72 1
SUB69972 F 65 1
SUB79935 F 68 7
SUB21571 M 75 1
SUB88069 F 72 4
SUB98197 F 70 5
SUB44883 F 65 3
SUB82295 F 73 6
SUB96027 F 75 4
SUB29839 F 69 5
SUB92681 F 71 4
SUB78168 F 67 2
SUB97554 M 70 3
SUB69064 F 73 4
SUB37724 M 69 0
SUB67179 F 68 2
SUB83689 F 70 1
SUB14027 F 65 11
SUB77201 M 69 9
SUB50911 F 66 2
SUB69666 F 69 1
SUB86637 F 65 1
SUB26917 F 75 8
SUB99282 M 68 0
SUB75309 M 72 2
SUB22256 F 74 1
SUB54323 F 65 2
SUB15158 F 69 6
SUB11893 M 67 2
