town,County,Dean04,Kerry04,Clinton08,Edwards08,Obama08,diebold,lat,long,TotPop,Medianage,PerCapitaInc.,MedianInc.,ClintonCampaignPresence,PopDensity,PcntHS.Grad,PcntColl.Grad,Tot.LaborF,Tot.Unemp
Acworth,Sullivan,0.473170732,0.234146341,0.267657993,0.178438662,0.43866171,-1,43.19,72.29,907,42.6,18132,37386,-1,23.25641026,85.9,28.6,448,13
Albany,Carroll,0.308270677,0.37593985,0.300518135,0.176165803,0.424870466,-1,43.95,71.17,714,37.4,20690,36635,-1,9.431968296,80.4,18.3,365,13
Alexandria,Grafton,0.243478261,0.404347826,0.342028986,0.24057971,0.350724638,-1,43.61,71.79,1501,40.3,19323,42667,-1,34.4266055,84.1,18.4,823,28
Allenstown,Merrimac,0.193502825,0.481638418,0.465656566,0.214141414,0.258585859,1,41.13,71.39,4951,35.5,18851,41958,-1,240.3398058,79.8,9.7,2859,103
Alstead,Cheshire,0.45631068,0.223300971,0.285436893,0.12815534,0.466019417,-1,43.15,72.36,2045,39.5,20444,43191,-1,44.91544037,86.7,27.4,1218,37
Alton,Belknap,0.278614458,0.320783133,0.371282051,0.193846154,0.380512821,1,43.45,71.22,5109,41.4,25940,43451,-1,74.04347826,87.9,21.5,2755,86
Amherst,Hillsborough,0.308897877,0.405460061,0.333218825,0.145654414,0.449673652,1,42.86,71.63,11703,38.7,35531,89384,-1,334.5626072,96.2,55.6,6255,186
Andover,Merrimac,0.363636364,0.343434343,0.31372549,0.156862745,0.441176471,-1,43.44,71.82,2229,40.1,21627,47093,-1,52.60797734,85.8,25,1272,35
Antrim,Hillsborough,0.372807018,0.311403509,0.3,0.163076923,0.418461538,-1,43.03,71.94,2621,37.4,18978,45677,-1,72.04507971,84.9,23.3,1305,39
Ashland,Grafton,0.318181818,0.416083916,0.403846154,0.151442308,0.346153846,1,43.7,71.63,2022,36.8,17450,33345,-1,96.93192713,84.9,18.4,1089,28
Atkinson,Rockingham,0.221693625,0.545195052,0.488767869,0.172226004,0.295439074,1,42.84,71.15,6601,40.9,30412,69729,-1,570.5272256,95.3,39.2,3774,139
Auburn,Rockingham,0.231441048,0.441048035,0.401297498,0.170528267,0.367933272,1,43,71.35,5163,36.8,28405,70774,-1,181.0943529,91.7,27,3133,96
Barnstead,Belknap,0.244343891,0.368024133,0.366336634,0.201320132,0.379537954,1,43.33,71.29,4601,38.8,19773,47449,-1,235.1047522,86,17.8,2496,90
Barrington,Strafford,0.279874214,0.393081761,0.371160854,0.212389381,0.343050495,1,43.22,71.05,8275,36.6,21012,50630,-1,181.4295111,91,27.5,4933,149
Bartlett,Carroll,0.320137694,0.413080895,0.356598985,0.163705584,0.376903553,-1,44.08,71.28,2915,41.5,21631,39107,-1,35.51413255,88.4,31.6,1724,47
Bath,Grafton,0.494949495,0.373737374,0.37012987,0.194805195,0.38961039,-1,44.17,71.97,964,41.5,17916,43088,-1,25.01946535,83.8,16.7,466,14
Bedford,Hillsborough,0.257361839,0.448971359,0.405371798,0.131559314,0.401392688,1,42.95,71.52,20986,39.2,37730,84392,-1,634.593287,92.6,49.3,11170,308
Belmont,Belknap,0.201923077,0.418269231,0.444271239,0.207326578,0.29228371,1,43.45,71.48,7268,38.4,19986,47717,-1,220.5766313,81.4,16.3,4288,144
Bennington,Hillsborough,0.318681319,0.324175824,0.278911565,0.241496599,0.404761905,-1,43,71.93,1477,35.1,19675,46150,-1,141.4750958,87.1,24.8,823,26
Benton,Grafton,0.482758621,0.275862069,0.345454545,0.236363636,0.290909091,-1,44.1,71.9,340,48,13219,34167,-1,6.981519507,57.7,8.8,114,0
Berlin,Coos,0.181818182,0.530226119,0.504053058,0.228445099,0.222549742,1,44.47,71.19,9954,42.5,15780,29647,1,105.9386973,72.6,6.7,4708,237
Bethlehem,Grafton,0.445676275,0.312638581,0.334420881,0.220228385,0.378466558,-1,44.28,71.69,2422,39,20155,35547,-1,27.16464782,88.9,27.1,1453,46
Boscawen,Merrimac,0.361940299,0.304104478,0.446866485,0.143051771,0.347411444,-1,43.32,71.62,3899,39.4,18732,42524,-1,154.1106719,79.1,15.5,1915,70
Bow,Merrimac,0.269774011,0.427966102,0.357470678,0.160122387,0.413054564,1,43.13,71.55,8098,38.6,29557,79329,-1,290.6676238,94.6,45.4,4322,111
Bradford,Merrimac,0.356321839,0.304597701,0.244239631,0.184331797,0.493087558,-1,43.27,71.96,1527,40.3,22240,49018,-1,36.85734975,92.4,32.3,894,32
Brentwood,Rockingham,0.273809524,0.446428571,0.39760479,0.176047904,0.362874251,1,42.98,71.07,3780,38.9,22027,68971,-1,222.3529412,86.3,27.5,1717,76
Bridgewater,Grafton,0.285714286,0.474025974,0.395918367,0.175510204,0.33877551,-1,43.64,71.74,1075,45.4,28600,50662,-1,49.53917051,92.1,31.8,571,14
Bristol,Grafton,0.236658933,0.382830626,0.376451078,0.167495854,0.391376451,-1,43.59,71.74,3131,38.5,19807,38032,-1,43.56476972,84.4,22.5,1612,58
Brookfield,Carroll,0.460869565,0.295652174,0.379746835,0.170886076,0.329113924,-1,43.56,71.07,665,43,25745,52132,-1,28.54077253,92.2,34.1,381,0
Brookline,Hillsborough,0.305131761,0.410540915,0.36695279,0.169527897,0.396995708,1,42.73,71.66,4812,35.7,29272,77075,-1,238.0999505,94.3,41.8,2587,72
Campton,Grafton,0.371991247,0.365426696,0.34320323,0.173620458,0.384925976,1,43.85,71.65,2961,39,20189,39213,-1,11.48832156,85.9,24.7,1710,57
Canaan,Grafton,0.43956044,0.353479853,0.347019868,0.18807947,0.405298013,1,43.65,72.01,3528,37.7,20515,43220,-1,58.45898923,84.2,21.9,2090,52
Candia,Rockingham,0.286926995,0.398981324,0.408114558,0.187350835,0.326968974,1,43.08,71.28,4163,37.6,25267,61389,-1,120.9119954,92.5,28.9,2615,81
Canterbury,Merrimac,0.403594771,0.349673203,0.316953317,0.15970516,0.436117936,1,43.34,71.57,2303,42.4,27374,58026,-1,55.56091677,93.9,43.4,1361,36
Carroll,Coos,0.243243243,0.412162162,0.439252336,0.144859813,0.355140187,-1,44.3,71.54,741,42.9,18734,39286,-1,14.73161034,89.3,20.7,459,16
