"V1","V2","V3","V4","V5"
-0.869,95.972,99.605,123.391,114.092
0.488,103.55,105.07,125.299,107.359
0.64,85.371,128.971,89.514,109.089
-0.518,124.296,97.187,121.896,125.182
0.051,127.772,127.603,99.44,116.251
-0.538,66.852,98.788,90.489,126.483
-0.202,92.89,102.376,112.297,108.461
0.892,116.281,124.674,112.658,107.499
-0.459,88.175,87.373,124.56,115.737
0.226,88.643,107.425,125.99,107.754
-0.064,96.15,95.611,98.48,118.017
-0.045,93.628,108.329,85.183,96.471
0.696,100.301,90.667,104.602,83.127
-0.931,75.098,102.195,98.157,81.973
0.859,93.925,89.833,120.434,107.957
-0.57,99.698,99.965,106.652,104.13
-0.753,108.902,102.436,101.913,103.564
-0.768,97.535,97.993,93.104,101.968
0.202,118.578,122.206,99.651,93.15
-0.739,97.21,94.152,119.873,85.696
-0.685,119.254,97.433,100.882,80.394
0.295,95.416,96.038,90.033,105.031
0.927,102.319,115.804,99.633,93.466
-0.762,109.277,93.476,68.289,105.084
-0.8,81.809,94.492,84.344,92.95
0.133,91.791,96.2,119.558,123.91
0.558,104.61,104.28,106.594,89.592
-0.877,112.982,90.343,80.728,89.909
0.128,82.713,125.993,106.903,104.587
0.218,57.098,118.592,117.457,107.315
0.554,108.921,83.134,81.972,93.079
-0.522,113.172,119.295,88.118,91.734
0.331,103.727,76.294,81.537,86.773
-0.626,101.646,90.776,114.348,109.832
0.716,71.863,101.623,106.855,106.013
-0.76,98.86,106.766,87.32,99.974
-0.907,97.954,104.834,108.534,88.228
0.618,73.684,120.115,103.715,92.206
-0.226,103.603,74.708,106.648,107.992
-0.458,119.999,96.204,102.08,116.911
0.422,73.305,112.654,114.379,128.644
0.429,86.18,119.085,107.424,104.755
0.477,89.632,93.252,102.966,129.299
-0.748,123.661,117.767,100.439,97.621
0.441,82.656,98.54,65.121,78.216
0.609,103.432,100.042,126.209,90.411
-0.413,112.216,104.192,76.775,103.759
-0.829,98.683,121.547,92.757,109.033
-0.17,103.153,112.031,111.62,102.473
0.396,122.29,102.97,82.643,101.843
-0.304,83.591,124.574,103.558,94.941
0.214,75.093,80.436,109.302,106.981
-0.541,120.734,100.805,101.237,112.922
0.442,113.757,68.04,89.579,85.995
-0.554,81.122,92.349,62.759,107.888
0.252,96.416,102.805,128.952,82.131
-0.273,132.541,62.038,97.362,91.058
-0.477,101.508,99.647,119.003,97.443
0.636,111.744,99.69,103.81,98.238
0.383,114.162,105.245,130.413,110.441
0.808,79.609,105.982,86.76,95.593
-0.721,92.996,110.302,110.99,108.62
0.032,94.433,101.168,119.507,90.529
0.082,99.329,106.459,116.554,98.558
0.453,103.631,96.429,92.981,112.136
0.917,91.036,116.54,119.002,108.142
0.566,108.828,107.07,89.177,94.424
-0.58,87.659,96.948,103.86,93.833
-0.789,95.437,126.945,84.061,137.996
0.234,113.641,97.328,123.914,100.504
-0.59,97.587,105.057,104.066,79.756
0.89,89.476,100.601,139.942,99.334
-0.997,106.839,102.642,116.267,71.308
-0.13,85.559,86.727,72.151,92.536
-0.893,114.025,115.366,108.2,81.007
0.583,115.051,115.907,96.203,111.443
-0.694,96.535,106.159,107.98,112.025
0.242,99.559,104.137,92.216,109.369
-0.535,97.103,110.899,102.967,77.294
0.587,107.949,106.502,115.461,82.845
0.064,97.171,104.687,137.836,99.831
-0.794,119.303,100.118,108.062,118.664
0.404,91.332,97.766,94.621,94.239
-0.509,84.662,81.285,126.811,108.445
0.46,83.174,87.912,98.032,118.915
0.715,100.737,106.606,105.671,107.335
0.569,96.645,99.405,120.417,113.119
0.343,83.099,122.655,97.556,120.786
0.657,87.394,102.399,114.507,103.683
-0.033,99.701,101.611,121.149,88.852
0.476,102.039,71.261,107.77,79.861
0.565,107.218,62.029,91.225,86.488
-0.815,91.882,101.102,67.749,95.396
-0.918,85.373,94.221,77.433,58.759
-0.728,122.565,105.566,115.261,101.617
-0.615,79.127,106.122,92.234,103.479
-0.112,104.42,126.438,91.689,99.067
-0.035,92.805,91.868,107.71,101.592
0.332,115.815,108.042,94.33,99.291
0.918,101.004,102.537,84.888,122.296
0.692,113.976,110.931,116.333,112.073
-0.2,119.952,109.898,106.438,92.93
0.359,80.376,101.95,92.93,139.094
0.826,104.17,121.759,131.799,132.216
0.867,97.882,106.029,119.693,85.849
0.173,108.683,97.909,108.338,105.304
-0.242,86.08,89.694,118.95,89.897
-0.447,100.046,131.76,114.449,84.675
-0.409,107.612,107.8,95.482,80.28
0.013,106.594,101.42,91.138,123.586
-0.565,118.867,85.702,118.864,122.565
0.824,100.215,102.639,83.098,108.751
0.408,110.332,83.427,87.26,105.175
-0.627,93.116,108.821,104.522,102.232
0.961,97.239,109.409,102.762,113.735
0.386,107.929,94.241,86.555,99.275
0.127,106.773,112.761,101.827,92.45
0.997,94.36,87.417,108.446,94.092
0.449,113.981,79.757,70.456,116.869
0.87,113.98,113.354,65.834,83.095
-0.826,105.439,81.686,96.256,91.479
0.138,122.232,96.878,99.739,82.412
0.031,81.66,100.591,106.014,85.553
0.959,89.757,85.659,124.586,86.58
0.316,105.314,94.456,89.944,98.858
0.466,77.573,92.182,82.133,110.714
-0.434,98.962,87.414,91.447,106.256
-0.074,69.487,120.163,109.016,100.642
-0.893,87.296,80.177,117.917,109.193
0.364,99.959,90.218,105.032,105.129
-0.786,104.408,112.66,121.71,113.273
